User-ID;ISBN;Book-Rating
276725;0;0
276726;1;5
276727;2;0
276729;3;3
276729;4;6
276733;5;0
276736;6;8
276737;7;6
276744;8;7
276745;9;10
276746;10;0
276746;11;0
276746;12;0
276746;13;0
276746;14;0
276746;15;0
276747;16;9
276747;17;0
276747;18;0
276747;19;9
276747;20;8
276747;21;7
276747;22;0
276747;23;7
276748;24;6
276748;25;0
276751;26;0
276751;27;8
276754;28;8
276755;29;5
276760;30;10
276762;31;0
276762;32;0
276762;33;5
276762;34;0
276762;35;0
276762;36;0
276762;37;0
276762;38;0
276762;39;0
276762;40;0
276762;41;0
276762;42;0
276762;43;0
276762;44;8
276762;45;0
276762;46;0
276762;47;0
276762;48;0
276762;49;3
276762;50;0
276762;51;0
276762;52;0
276762;53;0
276762;54;0
276762;55;4
276765;56;0
276768;57;4
276772;58;0
276772;59;7
276772;60;0
276772;61;10
276772;62;10
276774;63;0
276774;64;0
276774;65;0
276774;66;9
276774;67;0
276780;68;0
276780;69;7
276780;70;7
276786;71;6
276786;72;0
276786;73;0
276786;74;0
276786;75;0
276786;76;0
276786;77;8
276786;78;0
276786;79;6
276786;80;0
276786;81;6
276786;82;0
276788;83;8
276788;84;7
276788;85;10
276796;86;5
276796;87;0
276798;88;5
276798;89;0
276798;90;7
276798;25;0
276798;91;0
276798;92;0
276798;93;0
276798;94;0
276798;95;0
276798;96;6
276798;97;0
276798;98;0
276800;99;0
276800;100;0
276800;101;0
276800;102;0
276800;103;0
276800;104;7
276803;105;0
276804;106;0
276804;107;0
276804;108;8
276806;109;0
276806;110;0
276808;111;10
276811;112;10
276812;113;8
276813;114;0
276813;115;0
276813;116;0
276813;117;8
276813;118;0
276813;119;8
276813;120;6
276813;121;8
276813;122;6
276813;123;6
276813;124;8
276813;125;0
276814;126;8
276814;127;7
276814;128;9
276817;129;0
276820;130;0
276820;131;9
276822;132;10
276822;133;9
276822;134;10
276822;135;9
276822;136;9
276822;137;10
276822;138;0
276822;139;6
276822;140;9
276822;141;8
276822;142;10
276822;143;9
276822;144;10
276822;145;10
276822;146;8
276822;147;10
276827;148;7
276828;149;0
276828;150;0
276828;151;0
276828;152;0
276828;153;0
276828;154;0
276828;155;0
276828;156;0
276828;157;7
276828;158;0
276828;159;0
276828;160;0
276828;161;0
276830;162;9
276832;163;0
276832;164;5
276833;165;0
276835;166;10
276837;167;5
276838;168;0
276840;169;0
276840;170;0
276842;171;7
276847;172;0
276847;173;5
276847;174;0
276847;175;8
276847;176;8
276847;177;7
276847;178;10
276847;179;0
276847;180;0
276847;181;8
276847;182;0
276847;183;8
276847;184;9
276847;185;10
276847;186;9
276847;187;8
276847;188;7
276847;189;10
276847;190;0
276847;191;8
276847;192;10
276847;193;7
276847;194;9
276847;195;6
276847;196;0
276847;197;0
276847;198;7
276847;199;9
276847;200;0
276847;201;7
276847;202;6
276847;203;0
276847;204;0
276847;205;0
276847;206;8
276847;207;10
276847;208;0
276847;209;10
276847;210;10
276847;211;10
276847;212;10
276847;213;9
276847;214;7
276847;215;10
276847;216;10
276847;217;10
276847;218;0
276847;219;0
276847;220;8
276847;221;10
276847;222;5
276848;223;0
276848;224;0
276848;225;0
276848;226;0
276848;227;0
276848;228;0
276848;229;0
276848;230;0
276848;231;0
276848;232;8
276848;233;0
276848;234;0
276848;235;0
276848;236;0
276850;237;7
276852;238;0
276852;239;0
276853;240;1
276853;241;7
276854;242;5
276854;243;5
276854;244;0
276856;245;0
276856;246;0
276856;247;0
276856;248;0
276856;249;0
276856;250;0
276856;251;0
276856;252;0
276856;253;0
276856;254;0
276856;255;0
276856;256;0
276856;257;0
276856;258;0
276856;259;0
276856;260;0
276856;261;0
276856;262;0
276856;263;0
276856;264;0
276856;265;0
276856;266;0
276857;267;6
276859;268;0
276859;269;6
276859;270;0
276859;271;0
276859;272;0
276859;273;0
276859;274;0
276859;275;7
276859;276;0
276859;277;8
276859;278;8
276859;279;10
276859;280;10
276859;281;9
276859;282;6
276859;283;8
276859;284;0
276859;285;0
276861;286;9
276861;287;0
276861;288;10
276861;289;8
276861;290;9
276861;291;8
276861;292;6
276861;293;9
276861;215;9
276861;216;9
276861;217;9
276861;294;6
276861;295;8
276862;296;0
276862;297;9
276862;298;8
276863;299;10
276866;300;3
276866;301;8
276866;302;0
276866;303;9
276866;304;7
276866;305;0
276866;306;3
276866;307;5
276866;308;0
276866;309;0
276866;310;4
276866;311;8
276866;312;7
276866;313;0
276866;314;5
276866;315;0
276866;316;0
276866;317;0
276866;318;0
276866;319;5
276869;320;0
276869;321;0
276870;322;6
276872;323;8
276872;324;8
276872;325;7
276872;326;4
276872;327;3
276872;328;10
276872;329;8
276872;330;8
276873;331;7
276875;332;7
276875;333;8
276875;334;0
276875;335;0
276875;336;8
276875;337;0
276875;338;0
276875;339;6
276875;340;7
276875;341;0
276875;342;0
276875;343;0
276875;344;0
276875;345;0
276875;346;0
276875;347;7
276875;348;6
276875;349;0
276875;350;0
276875;351;0
276875;352;6
276875;353;8
276875;354;0
